CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,87,310,776,3404
0,0,311,5210,117
45,28,312,25,288
0,0,313,482,14
0,270,314,154,470
0,335,315,745,2311
10,32,316,3273,4784
0,0,317,2528,24
2,63,318,481,1568
21,120,319,151,390
25,103,320,6548,14691
0,87,321,272,1508
22,139,322,2570,427
0,88,323,384,7510
19,124,324,673,1037
33,286,325,7510,5280
1,200,326,464,874
2,82,327,721,1236
0,115,328,1104,2065
0,98,329,1900,4850
237,578,330,34453,5283
2,68,331,1520,1658
313,84,332,6790,5058
49,186,332.5,977,556
61,268,333,6467,7663
599,71,334,2111,1177
366,787,335,8655,19099
74,152,336,7273,10928
119,94,337,1851,1979
254,65,337.5,1036,1108
543,437,338,5852,1236
721,362,339,5154,4146
5237,1208,340,22048,23510
7019,1294,341,4516,8033
3333,1057,342,8063,2189
1938,1035,342.5,6652,1051
11393,2119,343,5997,8437
2526,1872,344,2627,1786
11565,2770,345,1942,4797
2952,1381,346,1877,2554
16860,1984,347,1372,4063
1535,1076,347.5,143,560
2332,1233,348,394,1024
1483,1426,349,232,1255
14612,11798,350,1153,14137
1127,2643,351,114,826
1931,1892,352,66,530
375,1053,352.5,13,323
1037,1590,353,191,942
1877,4498,354,374,663
41002,10785,355,443,2562
1376,5248,356,81,2981
14742,16565,357,42,1585
437,1283,357.5,2,314
406,1398,358,25,482
181,1286,359,4,176
4566,7707,360,136,4128
428,1381,361,10,162
144,5182,362,64,649
41,1277,362.5,0,365
