CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,1,293,0,437
0,1,294,0,360
0,3,295,0,665
0,0,296,0,278
0,0,297,0,528
0,1,298,0,231
0,7,299,0,414
0,17,300,0,3438
0,4,301,0,1352
0,0,302,0,264
0,5,303,0,233
0,10,304,0,740
0,30,305,0,2968
0,20,306,0,592
0,3,307,0,511
0,21,308,0,585
0,51,309,0,246
0,45,310,0,4800
0,60,311,0,510
0,94,312,0,513
0,45,313,0,370
0,150,314,0,710
0,462,315,0,2556
0,376,316,0,1960
0,584,317,0,2013
0,1579,318,0,1069
0,542,319,0,459
0,1340,320,0,3297
0,1182,321,0,959
0,878,322,0,1275
0,535,323,0,1014
0,1108,324,0,715
0,1524,325,0,1799
0,778,326,0,1406
0,926,327,0,928
0,1051,328,0,729
0,666,329,0,679
0,2505,330,0,4226
0,623,331,0,165
0,1005,332,0,896
0,801,333,0,409
0,1339,334,0,724
0,1172,335,0,1279
0,1224,336,0,397
0,616,337,0,153
0,1455,338,0,1018
0,592,339,0,223
0,8682,340,0,1505
0,378,341,0,425
0,1425,342,0,398
0,697,343,0,169
0,832,344,0,466
0,6820,345,0,476
0,4452,346,0,249
0,392,347,0,49
0,4583,348,0,495
0,357,349,0,39
0,2083,350,0,3135
0,387,351,0,69
0,763,352,0,107
