CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,77,4350,0,2282
0,18,4355,0,337
0,35,4360,0,380
0,7,4365,0,486
0,43,4370,0,531
0,48,4375,0,284
0,55,4380,0,588
0,88,4385,0,281
0,57,4390,0,636
0,151,4395,0,450
0,417,4400,0,2866
0,102,4405,0,215
0,234,4410,0,575
0,98,4415,0,222
0,134,4420,0,464
0,240,4425,0,877
0,407,4430,0,1338
0,170,4435,0,382
0,934,4440,0,639
0,188,4445,0,271
0,1761,4450,0,1042
0,191,4455,0,348
0,265,4460,0,602
0,166,4465,0,226
0,266,4470,0,605
0,326,4475,0,243
0,1495,4480,0,129
